Tab.1.4.1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Scientific Expenditure of the Federal Republic of Germany 1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
2. economic sector 7);25050;34663;35445;36254;38410;38744;39929;42281;43769;46890;46019;47409;51448;54109;54569;58115;60940;61673;69066;72662;75288;70627;77601;83422
2.1 Commercial economy 8);24733;34333;35095;35904;38060;38394;39569;42281;43769;46890;46019;47409;51448;54109;54569;58115;60940;61673;69066;72662;75288;70627;77601;83422
2.2 Foundations and donations 9);317;330;350;350;350;350;360;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m
3. Public budgets and economic sector;53272;64571;66794;68337;70541;70253;71924;75499;77757;83040;84410;87511;93302;97562;100899;107266;111048;113101;122429;127342;133219;132239;141872;151884
key figure;Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%);Shares (%)
Likewise in percent of gross domestic product (GDP) 10);2,8;3;3;3,1;3,1;3,1;3,1;3,1;3,1;3,2;3,4;3,3;3,4;3,5;3,5;3,6;3,6;3,5;3,7;3,7;3,8;3,8;3,9;3,8
;;;;;;;;;;;;;;;;;;;;;;;;
"Source: Federal Ministry of Education and Research, special analysis; Federal Statistical Office, special analysis; Stifterverband Wissenschaftsstatistik, special analysis";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;;;;;;;;;;;;;;;;;;;;;;;;
1) Expenditure on research, development, academic teaching and other R&D-related activities..;;;;;;;;;;;;;;;;;;;;;;;;
"2) States, municipalities, non-profit scientific organizations until 2011 IST, 2012 to 2022 provisional IST; federal government until 2022 IST.";;;;;;;;;;;;;;;;;;;;;;;;
3) Deviations from publications of the Federal Statistical Office due to the BMBF's own surveys.;;;;;;;;;;;;;;;;;;;;;;;;
"4)The states' scientific expenditure is based on the ""basic funds"" that result from deducting direct income (in particular the states' nursing fee income for health care at university hospitals) from net expenditure.";;;;;;;;;;;;;;;;;;;;;;;;
5) Expenditure financed by own income of the institutes, which are mainly supported by the state.;;;;;;;;;;;;;;;;;;;;;;;;
6) Net expenditure excluding social insurance. From 1998 excluding hospitals and university clinics with commercial accounting.;;;;;;;;;;;;;;;;;;;;;;;;
7) Even years are estimated based on the previous year. Deviations compared to previous publications, since from 2006 onwards foundations and donations are not included.;;;;;;;;;;;;;;;;;;;;;;;;
"8) Data from surveys by the Stifterverband Wissenschaftsstatistik gGmbH; the expenditure financed by the economy refers to the economy's internal R&D expenditure, plus funds from the economy that flow into other sectors (e.g. universities, abroad).";;;;;;;;;;;;;;;;;;;;;;;;
9) Including Volkswagen Foundation (estimated). Data from 2000 onwards are not comparable with previous years. Last survey in 2005.;;;;;;;;;;;;;;;;;;;;;;;;
10) Gross domestic product calculation status: August 2024 (ESA 2010, revision 2024).;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
m = data not available.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Evaluation from the BMBF's ICE database (ICE = Information, Controlling, Decision);;;;;;;;;;;;;;;;;;;;;;;;
A system of the German Centre for Higher Education and Science Research (DZHW), http://www.dzhw.eu;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: January 27, 2025;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
This work is licensed under a Germany Attribution 2.0 Data License.;;;;;;;;;;;;;;;;;;;;;;;;
(https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;
