Tab.1.4.1;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Wissenschaftsausgaben der Bundesrepublik Deutschland 1);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
2. Wirtschaftssektor 7);25050;34663;35445;36254;38410;38744;39929;42281;43769;46890;46019;47409;51448;54109;54569;58115;60940;61673;69066;72662;75288;70627;77601;83422
2.1 Gewerbliche Wirtschaft 8);24733;34333;35095;35904;38060;38394;39569;42281;43769;46890;46019;47409;51448;54109;54569;58115;60940;61673;69066;72662;75288;70627;77601;83422
2.2 Stiftungen und Spenden 9);317;330;350;350;350;350;360;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m
3. Öffentliche Haushalte und Wirtschaftssektor;53272;64571;66794;68337;70541;70253;71924;75499;77757;83040;84410;87511;93302;97562;100899;107266;111048;113101;122429;127342;133219;132239;141872;151884
Kennzahl;Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%)
   Desgleichen in Prozent des Bruttoinlandsprodukts (BIP) 10);2,8;3;3;3,1;3,1;3,1;3,1;3,1;3,1;3,2;3,4;3,3;3,4;3,5;3,5;3,6;3,6;3,5;3,7;3,7;3,8;3,8;3,9;3,8
;;;;;;;;;;;;;;;;;;;;;;;;
"Quelle: Bundesministerium für Bildung und Forschung, Sonderauswertung; Statistisches Bundesamt, Sonderauswertung; Stifterverband Wissenschaftsstatistik, Sonderauswertung";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Anmerkungen:;;;;;;;;;;;;;;;;;;;;;;;;
1) Ausgaben für Forschung, Entwicklung, akademische Lehre und sonstige FuE-verwandte Tätigkeiten.;;;;;;;;;;;;;;;;;;;;;;;;
"2) Länder, Gemeinden, wissenschaftliche Organisationen ohne Erwerbszweck bis 2011 IST, 2012 bis 2022 vorläufiges IST; Bund bis 2022 IST.";;;;;;;;;;;;;;;;;;;;;;;;
3) Abweichungen gegenüber Veröffentlichungen des Statistischen Bundesamtes aufgrund eigener Erhebungen des BMBF.;;;;;;;;;;;;;;;;;;;;;;;;
"4) Die Wissenschaftsausgaben der Länder basieren auf den ""Grundmitteln"", die sich durch Absetzung der unmittelbaren Einnahmen (insbesondere der Pflegesatzeinnahmen der Länder für die Krankenversorgung an Hochschulkliniken) von den Nettoausgaben ergeben.";;;;;;;;;;;;;;;;;;;;;;;;
5) Durch Eigeneinnahmen finanzierte Ausgaben der überwiegend vom Staat geförderten Institute.;;;;;;;;;;;;;;;;;;;;;;;;
6) Nettoausgaben ohne Sozialversicherung. Ab 1998 ohne Krankenhäuser und Hochschulkliniken mit kaufmännischem Rechnungswesen.;;;;;;;;;;;;;;;;;;;;;;;;
7) Gerade Jahre sind auf Basis des Vorjahres geschätzt. Abweichungen im Vergleich zu früheren Veröffentlichungen, da ab 2006 ohne Stiftungen und Spenden.;;;;;;;;;;;;;;;;;;;;;;;;
"8) Daten aus Erhebungen der Stifterverband Wissenschaftsstatistik gGmbH; die von der Wirtschaft finanzierten Ausgaben beziehen sich auf die internen FuE-Aufwendungen der Wirtschaft, hinzu kommen Mittel der Wirtschaft, die in andere Sektoren (z. B. Hochschulen, Ausland) fließen.";;;;;;;;;;;;;;;;;;;;;;;;
9) Einschließlich VolkswagenStiftung (geschätzt). Daten ab 2000 mit Vorjahren nicht vergleichbar. Letztmalige Erhebung im Jahr 2005.;;;;;;;;;;;;;;;;;;;;;;;;
10) Rechenstand des Bruttoinlandsprodukts: August 2024 (ESVG 2010, Revision 2024).;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
m = Daten nicht verfügbar.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Auswertung aus der ICE-Datenbank des BMBF (ICE = Information, Controlling, Entscheidung);;;;;;;;;;;;;;;;;;;;;;;;
Ein System des Deutschen Zentrums für Hochschul- und Wissenschaftsforschung (DZHW), http://www.dzhw.eu;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Letzte Aktualisierung: 27. Januar 2025;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Dieses Werk ist lizenziert unter einer Datenlizenz Deutschland Namensnennung 2.0.;;;;;;;;;;;;;;;;;;;;;;;;
(https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;
